category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,EST,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,38800.0,34900.0,25800.0,20800.0,21700.0,20000.0,20900.0,20400.0,18200.0,16900.0,17000.0,17500.0,16800.0,18800.0,19100.0,19000.0,18500.0,21800.0,19900.0,17100.0,22000.0,22200.0,21100.0,23100.0,22600.0,19800.0,21500.0,22900.0,22300.0,17000.0
M.0.EL,ETH,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2450.0,2010.0,2150.0,2460.0,2450.0,2340.0,2590.0,3000.0,3120.0,3290.0,3570.0,4410.0,4600.0,5110.0,5440.0,6760.0,6540.0,9260.0,8550.0,9240.0,11400.0,9830.0,10000.0,11400.0,13900.0,14300.0,16200.0,18100.0,19100.0,19200.0
M.0.EL,FIN,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,57100.0,55400.0,54500.0,56600.0,62200.0,59100.0,64500.0,63100.0,59700.0,59300.0,57300.0,62800.0,65400.0,72900.0,69200.0,57300.0,68700.0,67000.0,58900.0,56200.0,64400.0,56900.0,51400.0,51900.0,47800.0,44300.0,47400.0,44800.0,46000.0,42700.0
M.0.EL,FJI,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,813.0,673.0,749.0,751.0,749.0,767.0,827.0,799.0,770.0,786.0,841.0,1060.0,892.0,1050.0,1360.0,1100.0,1220.0,1160.0,902.0,794.0,1220.0,1080.0,1060.0,1330.0,1640.0,2150.0,2040.0,1930.0,1980.0,2750.0
M.0.EL,FRA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,402000.0,427000.0,417000.0,398000.0,391000.0,398000.0,414000.0,407000.0,425000.0,423000.0,417000.0,424000.0,421000.0,425000.0,427000.0,430000.0,420000.0,411000.0,404000.0,384000.0,393000.0,370000.0,373000.0,374000.0,343000.0,347000.0,352000.0,355000.0,341000.0,334000.0
M.0.EL,FSM,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,93.2,97.8,103.0,103.0,106.0,114.0,114.0,121.0,121.0,125.0,128.0,143.0,136.0,147.0,143.0,121.0,121.0,132.0,110.0,147.0,103.0,117.0,125.0,136.0,136.0,143.0,143.0,143.0,147.0,207.0
M.0.EL,GAB,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,6310.0,4940.0,5090.0,5160.0,4790.0,5480.0,6180.0,5800.0,6750.0,6360.0,6410.0,6770.0,6520.0,7380.0,6680.0,6330.0,5650.0,5130.0,5470.0,5400.0,5890.0,5750.0,5810.0,6100.0,6550.0,6670.0,6750.0,6140.0,5950.0,5320.0
M.0.EL,GBR,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,601000.0,609000.0,594000.0,579000.0,575000.0,567000.0,589000.0,563000.0,568000.0,562000.0,568000.0,577000.0,561000.0,572000.0,574000.0,571000.0,568000.0,560000.0,545000.0,495000.0,512000.0,470000.0,488000.0,478000.0,439000.0,423000.0,400000.0,388000.0,383000.0,370000.0
M.0.EL,GEO,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,34000.0,30700.0,19800.0,11900.0,7710.0,5540.0,8350.0,9070.0,7640.0,6250.0,4800.0,5030.0,4890.0,5200.0,6180.0,6440.0,7690.0,8670.0,8630.0,8180.0,8320.0,10900.0,11600.0,11300.0,12000.0,12600.0,12800.0,12900.0,11400.0,12200.0
M.0.EL,GHA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2950.0,2470.0,2990.0,3220.0,3340.0,3660.0,3950.0,4080.0,4470.0,5040.0,6410.0,5700.0,6100.0,6550.0,5980.0,6590.0,8060.0,7800.0,7260.0,6030.0,7790.0,9330.0,11100.0,11100.0,11700.0,13000.0,13300.0,11400.0,14400.0,14700.0
